name	reading
What is an operating system	Chapter 1.1 - 1.2
Middleware	Chapter 1.3 - 1.9
Review C and pointers	
Review x86_64 assembly	
Stacks	Appendix A
Review make, gcc	
Thread Basics	Chapter 2.1 - 2.3
Switching Threads	Chapter 2.4 - 2.6
Thread States	Chapter 3.1 - 3.2
Scheduling Goals	Chapter 3.3
Scheduling	Chapter 3.4 - 3.8
Races and the Need for Mutual Exclusion	Chapter 4.1 - 4.2
Syncronization Patterns	Chapter 4.3 - 4.6
Deadlocks and Scheduling	Chapter 4.7 - 4.10
Presentation Day 1	
Exam Review	
Exam 1	
Atomic Transactions	Chapter 5.1 - 5.3
Transaction Mechanisms	Chapter 5.4 - 5.6
Virtual Memory	Chapter 6.1 - 6.2
Mechanisms for Virtual Memory	Chapter 6.3
Virtual Memory Policies and Security	Chapter 6.4 - 6.5
POSIX Process Management API	Chapter 7.1 - 7.2
Protecting Memory	Chapter 7.3 - 7.6
POSIX File API	Chapter 8.1 - 8.3
File System Implementation	Chapter 8.4 - 8.9
Presentation Day 2	
Exam Review	
Exam 2	
Networking Application Layer	Chapter 9.1 - 9.2
POSIX Socket API	Chapter 9.3 - 9.6
Presentation Day 3	
Messaging, RPC, and Web Services	Chapter 10
Security Objectives and Principles	Chapter 11.1 - 11.2
User Authentication and Information Access	Chapter 11.3 - 11.4
Malware	Chapter 11.5
Security Practices	Chapter 11.6 - 11.8
Presentation Day 4	
Final Review	
